sample_id,temperatuur_C,druk_bar,debiet_Lh,pH,conductiviteit_mScm,viscositeit_mPas,turbiditeit_NTU,opgeloste_O2_mgL,kwaliteitsscore,is_anomalie,regime,is_gelabeld,model_voorspelling,model_onzekerheid,informativiteit
AL-02489,205.3,12.47,25.5,8.5,3.14,568.8,7.8,0.3,90.6,0,0,0,97.7,5.41,7.1
AL-02490,212.6,9.91,19.9,9.6,4.43,285.6,95.7,12.6,86.5,0,3,0,83.4,5.5,6.77
AL-02491,270.0,15.24,10.8,7.7,2.0,369.9,8.4,2.9,94.8,0,0,0,96.0,9.68,13.52
AL-02492,168.1,7.49,94.6,7.9,3.87,249.7,34.8,13.9,88.8,0,3,0,99.7,4.17,5.32
AL-02493,120.1,9.33,37.1,7.0,8.72,15.1,48.1,4.7,79.3,0,3,0,83.8,8.69,9.43
AL-02494,164.4,7.58,13.7,6.8,4.1,484.9,78.1,12.3,84.4,0,3,0,86.3,5.19,6.17
AL-02495,176.4,16.26,94.3,9.8,9.3,523.0,6.4,0.4,60.4,0,2,0,53.3,5.57,7.19
AL-02496,179.3,10.55,86.1,5.3,7.64,626.3,88.3,1.9,63.5,0,2,0,54.5,6.03,7.42
AL-02497,198.8,15.34,38.0,9.4,3.37,579.4,71.1,1.3,79.2,0,2,0,79.0,8.0,8.68
AL-02498,247.7,8.01,29.8,8.9,6.61,296.9,37.9,0.9,82.0,0,3,0,85.7,8.63,9.84
AL-02499,267.8,12.36,27.6,5.3,6.4,212.7,19.8,14.0,94.8,0,0,0,93.4,10.44,14.58
AL-02500,247.5,9.44,97.4,6.3,2.98,231.2,85.0,14.3,87.8,0,3,0,89.4,7.82,9.83
AL-02501,129.3,15.55,61.5,4.3,9.59,739.7,57.1,4.2,65.2,0,2,0,69.5,9.85,11.78
AL-02502,189.0,9.11,82.5,5.0,8.0,229.5,92.0,7.4,86.5,0,3,0,88.8,4.02,4.94
AL-02503,137.8,5.83,45.8,8.9,4.02,250.3,29.7,9.3,79.4,0,1,0,76.3,6.58,7.16
AL-02504,296.9,18.77,93.5,8.2,1.01,211.4,77.8,2.8,93.2,0,0,0,99.1,13.63,18.58
AL-02505,212.9,9.8,74.0,6.2,8.34,333.9,70.5,14.5,78.1,1,3,0,78.8,10.28,10.92
AL-02506,219.2,2.44,60.4,5.8,3.64,987.7,19.9,10.8,66.5,0,2,0,66.2,8.05,9.42
AL-02507,256.7,11.7,42.3,9.8,1.68,322.2,23.0,5.4,96.2,0,0,0,95.4,8.92,12.71
AL-02508,214.9,7.83,90.0,7.6,9.81,350.1,53.1,0.6,84.7,0,3,0,87.6,6.44,7.68
AL-02509,207.8,1.75,23.0,6.5,3.77,675.5,55.9,11.0,63.3,0,2,0,60.8,9.19,11.34
AL-02510,122.7,7.0,62.1,9.0,6.99,191.3,86.0,14.2,79.3,0,1,0,73.3,6.56,7.12
AL-02511,120.2,6.79,82.9,5.1,6.53,273.0,44.2,8.9,81.3,0,3,0,84.5,6.82,7.68
AL-02512,185.7,5.44,76.3,4.8,2.82,400.7,46.5,6.0,82.2,0,3,0,84.4,5.79,6.62
AL-02513,144.5,2.68,46.7,7.9,5.73,703.8,31.6,9.8,78.5,0,1,0,85.4,7.38,7.89
AL-02514,145.5,6.73,88.6,5.6,4.81,666.1,52.3,2.3,53.0,0,2,0,51.5,9.14,13.16
AL-02515,282.6,5.29,82.3,7.9,7.96,592.6,39.3,0.7,60.4,0,2,0,53.5,10.84,14.01
AL-02516,265.7,7.47,86.1,4.7,0.9,698.8,12.3,9.8,66.5,0,2,0,74.1,8.56,10.02
AL-02517,229.5,9.29,92.2,8.6,7.25,395.2,77.5,2.8,81.9,0,3,0,80.4,6.2,7.05
AL-02518,197.5,16.78,80.6,6.6,5.36,176.6,33.3,3.0,77.6,0,3,0,81.1,6.48,6.82
AL-02519,251.7,19.46,55.2,6.4,5.13,910.7,44.9,7.8,65.2,1,0,0,66.0,14.91,17.81
AL-02520,282.3,16.96,55.5,4.8,7.09,271.7,52.7,4.5,96.1,0,0,0,98.4,11.41,16.22
AL-02521,198.3,2.32,30.5,5.8,3.85,221.0,23.7,8.2,83.9,0,3,0,83.0,7.48,8.82
AL-02522,137.3,1.49,81.5,9.8,0.96,873.3,20.4,11.6,77.4,0,1,0,79.9,9.73,10.2
AL-02523,110.8,9.77,92.2,5.9,2.29,16.9,35.8,4.6,82.3,0,3,0,80.3,7.07,8.11
AL-02524,203.7,14.07,33.9,5.9,4.47,137.2,46.8,9.8,87.7,0,0,0,91.3,5.71,7.16
AL-02525,278.1,15.36,35.3,9.7,3.83,589.2,67.4,13.6,94.8,0,0,0,100.6,10.37,14.49
AL-02526,172.2,15.97,34.3,5.7,3.15,965.0,21.8,6.0,74.9,0,2,0,84.1,5.94,5.95
AL-02527,119.6,5.44,76.9,5.1,5.34,962.8,56.4,13.6,61.5,0,2,0,70.9,12.03,15.27
AL-02528,234.6,12.9,38.2,8.1,5.76,987.5,41.4,6.8,91.8,0,0,0,93.2,7.18,9.59
AL-02529,240.5,5.66,16.6,8.5,7.47,358.8,44.6,9.4,86.3,0,3,0,92.1,7.7,9.43
AL-02530,147.7,19.25,31.6,6.9,4.96,644.2,27.6,8.2,58.4,0,2,0,67.8,8.87,11.82
AL-02531,127.2,10.12,71.8,8.4,5.88,504.9,31.7,12.6,82.2,0,1,0,92.3,7.43,8.5
AL-02532,236.9,3.26,29.0,6.5,5.85,905.5,90.4,9.2,54.2,0,2,0,51.1,9.78,13.84
AL-02533,149.7,7.18,17.4,4.2,7.93,351.9,44.2,7.8,82.0,0,3,0,74.2,5.89,6.72
AL-02534,287.8,17.36,85.7,6.8,5.03,6.6,13.2,3.2,92.9,0,0,0,94.0,11.39,15.47
AL-02535,294.8,7.58,37.6,8.7,9.85,690.2,75.4,7.2,65.6,0,2,0,64.6,9.79,11.63
AL-02536,196.4,6.82,23.6,6.3,4.51,656.2,11.1,14.9,59.1,0,2,0,56.6,10.81,14.23
AL-02537,273.0,10.26,42.4,7.0,2.29,296.0,46.3,0.9,98.1,0,0,0,99.3,8.42,12.32
AL-02538,153.1,7.89,77.4,5.0,9.79,325.4,78.4,13.9,89.4,0,3,0,88.9,5.34,6.87
AL-02539,271.3,4.95,87.2,4.1,3.15,539.2,38.9,9.8,62.8,0,2,0,64.9,9.98,12.41
AL-02540,188.6,13.83,65.4,6.1,5.44,594.2,96.2,8.8,66.6,0,2,0,64.5,5.15,6.01
AL-02541,272.6,18.13,27.3,5.7,7.04,413.3,13.5,3.2,95.6,0,0,0,98.2,12.59,17.77
AL-02542,246.7,5.43,85.6,5.3,2.04,291.4,65.2,13.7,89.8,0,3,0,94.0,8.07,10.46
AL-02543,147.1,1.62,25.9,5.1,3.13,619.4,20.8,12.7,77.8,0,2,0,76.9,7.86,8.29
AL-02544,268.0,10.21,47.5,8.2,6.56,522.3,25.3,2.9,91.7,0,0,0,94.2,8.55,11.41
AL-02545,228.7,6.02,34.2,5.4,9.77,683.5,64.5,3.9,62.9,0,2,0,66.6,7.58,9.41
AL-02546,206.2,8.17,56.6,6.7,7.02,110.5,51.8,7.0,89.9,0,3,0,82.2,7.92,10.29
AL-02547,119.2,19.16,23.8,5.0,7.4,798.6,74.4,8.6,68.2,0,2,0,70.4,9.28,10.55
AL-02548,151.1,1.01,28.3,8.1,9.0,944.1,1.8,3.9,77.9,0,2,0,72.9,13.46,14.24
AL-02549,258.0,8.78,63.4,7.1,9.99,119.5,51.4,10.9,83.5,0,3,0,91.7,7.91,9.26
AL-02550,249.3,10.45,12.7,8.8,8.9,530.8,48.6,12.0,91.6,0,0,0,84.7,8.33,11.1
AL-02551,140.5,18.27,81.8,8.3,0.46,331.1,88.3,11.7,79.1,0,1,0,76.9,8.7,9.42
AL-02552,166.3,12.75,95.1,6.7,2.48,556.5,94.5,4.1,44.3,1,2,0,39.7,11.26,18.16
AL-02553,107.1,17.88,70.1,4.3,8.89,848.6,16.4,13.1,67.3,0,2,0,60.3,9.58,11.05
AL-02554,127.9,13.9,78.1,4.0,2.79,497.7,74.6,6.6,79.9,0,3,0,83.2,6.88,7.56
AL-02555,112.8,19.28,70.4,5.8,3.69,749.9,28.9,6.8,79.8,0,2,0,90.8,11.82,12.95
AL-02556,140.5,12.15,52.5,8.1,8.07,970.2,91.4,2.9,78.2,0,1,0,75.9,5.48,5.83
AL-02557,198.5,15.4,43.3,7.4,2.01,378.5,7.3,13.4,83.7,0,3,0,90.3,6.73,7.9
AL-02558,243.8,13.74,91.8,7.3,5.3,723.5,25.3,10.8,96.0,0,0,0,98.2,8.23,11.68
AL-02559,275.7,11.99,70.5,9.0,3.53,576.1,2.7,13.4,94.4,0,0,0,96.0,9.8,13.6
AL-02560,235.9,1.78,50.3,8.0,5.6,701.5,78.3,5.8,46.0,1,2,0,41.9,15.15,23.94
AL-02561,285.8,6.84,56.5,5.7,9.62,613.6,56.4,12.0,67.5,0,2,0,72.7,9.68,11.12
AL-02562,245.7,3.2,93.0,9.5,1.97,481.6,92.6,4.7,59.6,1,3,0,71.2,14.75,19.3
AL-02563,224.4,9.06,31.7,5.7,6.78,983.8,83.3,0.4,65.8,0,2,0,63.0,6.8,8.05
AL-02564,229.4,19.84,53.9,7.5,4.82,767.1,76.7,1.8,93.3,0,0,0,97.0,9.61,13.13
AL-02565,155.9,14.34,72.4,5.8,8.26,269.7,67.6,2.8,79.1,0,3,0,86.4,5.27,5.7
AL-02566,264.1,17.14,14.4,8.7,7.96,105.0,59.2,1.1,94.1,0,0,0,91.5,10.35,14.32
AL-02567,146.7,16.19,74.7,4.8,6.24,404.1,61.0,8.5,82.6,0,3,0,85.9,8.11,9.34
AL-02568,285.8,14.01,16.8,8.1,2.18,483.0,36.8,13.0,96.8,0,0,0,98.8,12.45,17.88
AL-02569,236.8,16.28,78.7,6.6,9.93,284.2,7.6,14.8,95.9,0,0,0,98.6,7.98,11.32
AL-02570,254.8,19.61,33.5,5.7,1.44,60.3,24.5,4.4,92.4,0,0,0,92.1,9.89,13.34
AL-02571,119.4,7.21,44.3,7.4,4.45,732.7,54.9,12.6,72.2,0,1,0,72.0,8.74,9.23
AL-02572,155.5,9.34,92.9,6.3,5.25,232.1,8.6,5.8,84.7,0,3,0,81.6,4.32,5.17
AL-02573,148.6,4.94,29.8,5.6,3.33,952.9,36.3,14.4,69.3,0,2,0,67.8,7.43,8.27
AL-02574,298.7,18.19,88.3,5.4,7.82,1.4,4.7,9.5,97.3,0,0,0,89.6,12.38,17.89
AL-02575,182.6,16.58,33.7,6.1,9.88,146.9,14.0,5.2,80.8,0,3,0,76.4,6.79,7.58
AL-02576,117.8,17.06,16.0,4.2,2.93,123.0,17.6,6.5,83.8,0,3,0,82.3,8.18,9.62
AL-02577,142.9,19.53,67.5,9.6,2.79,607.6,56.9,8.2,86.1,0,1,0,75.0,7.66,9.36
AL-02578,245.3,6.88,22.4,8.0,6.05,706.8,80.3,6.0,56.9,0,2,0,53.6,7.52,10.23
AL-02579,120.2,19.26,95.5,5.0,4.1,661.9,12.4,12.0,65.0,0,2,0,63.9,9.99,11.99
AL-02580,188.6,4.13,60.8,8.3,8.02,473.7,0.5,4.3,83.4,0,3,0,80.0,7.15,8.34
AL-02581,244.7,18.37,59.6,9.3,7.3,660.4,37.3,13.3,93.5,0,0,0,94.6,9.8,13.42
AL-02582,196.4,1.83,76.7,5.6,0.7,872.1,15.5,2.9,66.0,0,2,0,70.4,7.41,8.73
AL-02583,277.2,2.85,57.7,9.7,7.84,968.4,17.9,14.5,67.4,0,2,0,57.3,11.79,13.58
AL-02584,164.5,3.81,41.4,8.7,3.39,665.1,12.6,6.4,59.7,0,2,0,64.1,6.26,8.19
AL-02585,153.5,6.53,55.1,9.6,5.15,311.3,91.3,12.6,89.6,0,3,1,91.3,6.55,8.46
AL-02586,188.3,15.72,42.2,5.0,0.17,792.7,87.7,1.9,73.5,0,2,0,71.4,7.96,8.2
AL-02587,217.6,17.12,35.3,6.4,3.81,944.6,2.7,7.8,87.7,0,0,0,86.3,8.21,10.3
AL-02588,105.3,4.38,86.6,7.6,8.36,684.3,63.9,12.3,80.3,0,1,0,81.2,9.6,10.63
AL-02589,145.5,2.51,22.6,6.0,3.08,965.0,4.0,3.0,63.8,0,2,0,68.5,7.58,9.27
AL-02590,177.2,1.5,29.6,9.3,2.25,692.8,45.6,5.2,61.6,0,2,0,59.2,6.65,8.43
AL-02591,113.1,11.45,26.0,7.6,3.51,775.6,25.7,12.9,78.9,0,1,0,86.1,6.65,7.17
AL-02592,230.0,15.5,14.1,7.4,4.77,4.4,93.7,4.9,92.5,0,0,0,90.4,7.43,10.04
AL-02593,136.3,17.93,30.5,5.6,7.38,768.1,74.2,5.6,67.3,0,2,0,64.2,9.34,10.78
AL-02594,169.8,17.32,46.0,6.6,6.43,742.8,82.1,12.5,66.4,0,2,0,77.3,5.62,6.58
AL-02595,200.9,19.95,38.8,4.6,8.81,965.5,34.8,10.2,83.1,0,0,0,82.4,7.78,9.04
AL-02596,127.8,2.61,54.8,8.4,3.24,926.7,25.0,13.3,81.8,0,1,0,82.7,11.64,13.22
AL-02597,247.7,19.8,51.0,8.2,7.74,408.5,55.1,12.9,92.6,0,0,0,102.3,11.57,15.66
AL-02598,231.0,6.13,76.6,5.5,6.0,663.5,88.5,7.8,68.1,0,2,0,66.6,7.12,8.1
AL-02599,168.1,18.42,62.9,5.2,9.54,278.6,34.3,3.5,77.6,0,3,0,72.8,5.9,6.21
AL-02600,141.2,6.16,57.5,9.5,9.84,934.0,4.1,13.8,88.1,0,1,0,83.4,7.93,10.02
AL-02601,297.3,16.81,97.2,7.2,8.32,927.6,95.3,12.0,100.0,0,0,0,101.2,11.94,17.91
AL-02602,287.4,18.29,84.7,8.5,0.96,860.2,27.3,1.4,92.0,0,0,0,94.5,12.98,17.39
AL-02603,273.1,10.96,72.8,8.0,1.58,190.2,34.0,4.2,98.4,0,0,0,94.7,8.33,12.22
AL-02604,161.2,11.2,71.2,7.3,9.85,382.7,1.2,14.9,62.7,1,3,0,69.4,10.72,13.37
AL-02605,117.3,16.09,56.1,8.8,3.21,190.6,1.2,12.1,77.1,0,1,0,71.8,10.48,10.92
AL-02606,155.0,2.18,96.1,4.5,2.74,424.8,4.2,11.2,80.1,0,3,0,85.9,7.16,7.9
AL-02607,144.6,19.72,99.6,8.8,5.92,158.4,97.1,2.5,74.0,0,1,0,74.6,9.45,9.64
AL-02608,227.6,11.39,27.1,9.1,7.38,450.1,87.6,3.8,90.9,0,0,0,82.1,7.67,10.11
AL-02609,115.7,1.89,81.6,6.2,3.43,541.3,8.4,4.6,60.8,0,2,0,53.0,10.05,12.9
AL-02610,213.7,2.68,25.5,9.6,8.21,14.6,87.0,14.5,84.9,0,3,0,75.9,7.72,9.24
AL-02611,271.7,13.73,93.3,6.5,8.48,758.6,69.5,0.9,95.3,0,0,0,102.4,10.2,14.33
AL-02612,172.8,1.96,24.2,4.8,0.46,384.5,29.2,10.8,87.9,0,3,0,93.5,5.91,7.43
AL-02613,122.6,11.02,55.2,8.1,5.0,743.0,99.0,4.4,85.6,0,1,0,81.6,7.05,8.55
AL-02614,140.3,13.33,56.0,9.9,9.44,767.9,88.4,6.0,82.7,0,1,0,81.1,6.12,7.06
AL-02615,260.5,3.17,54.6,9.0,7.97,914.3,45.4,11.9,69.2,0,2,0,65.1,9.86,11.01
AL-02616,216.4,5.33,76.3,7.0,9.65,92.1,86.4,10.0,86.2,0,3,1,88.6,6.92,8.48
AL-02617,155.4,19.26,73.4,5.1,6.35,753.3,64.2,2.0,69.3,0,2,0,61.0,7.56,8.43
AL-02618,118.9,1.48,21.1,4.2,4.2,611.5,22.8,4.6,61.2,0,2,0,62.6,8.85,11.28
AL-02619,175.2,9.04,29.0,7.1,4.05,857.7,49.7,8.1,72.8,0,2,0,72.4,7.51,7.85
AL-02620,250.3,4.34,80.9,5.6,4.47,566.4,70.2,7.1,66.6,0,2,0,67.9,9.78,11.41
AL-02621,159.6,7.03,74.9,8.3,7.19,795.6,87.7,1.7,66.0,0,2,0,61.9,5.35,6.32
AL-02622,258.1,7.2,98.0,5.7,3.9,930.5,100.0,11.4,69.0,0,2,0,71.5,8.11,9.08
AL-02623,116.8,6.45,40.3,5.1,3.03,651.2,86.8,13.3,68.7,0,2,0,65.4,8.19,9.21
AL-02624,235.3,12.22,33.8,9.5,2.18,488.1,46.1,6.0,91.1,0,0,0,85.6,7.24,9.57
AL-02625,255.5,18.36,62.8,7.8,9.46,578.4,76.8,1.4,96.0,0,0,0,100.4,9.56,13.57
AL-02626,285.2,12.68,87.6,9.3,9.67,863.1,96.8,4.2,92.9,0,0,0,92.5,9.49,12.89
AL-02627,145.9,12.01,17.9,7.4,5.18,359.5,37.9,4.1,80.7,0,1,0,82.8,5.7,6.35
AL-02628,209.1,18.16,84.1,9.6,7.27,655.4,0.0,7.0,98.0,0,0,0,91.8,7.49,10.92
AL-02629,170.0,4.41,65.2,8.6,4.8,607.2,81.9,14.0,58.8,0,2,0,56.4,5.21,6.9
AL-02630,123.3,11.01,48.1,5.6,9.21,996.7,88.7,3.5,58.4,0,2,0,64.1,6.75,9.0
AL-02631,122.8,14.79,53.0,7.0,4.08,737.1,97.5,8.3,61.6,0,2,0,63.4,7.78,9.87
AL-02632,262.4,14.13,21.8,5.6,9.51,461.8,59.1,4.2,91.5,0,0,0,96.7,9.17,12.19
AL-02633,232.6,14.05,27.4,6.6,4.12,334.7,52.8,10.2,86.4,0,0,0,75.2,7.2,8.84
AL-02634,133.7,4.18,16.1,5.9,0.14,94.0,17.6,2.0,75.5,0,3,0,73.0,6.91,6.98
AL-02635,157.3,8.38,94.8,8.5,5.85,753.8,27.7,5.4,70.0,0,2,0,71.1,4.38,4.82
AL-02636,287.0,12.8,27.8,7.4,7.41,783.6,71.2,14.8,93.2,0,0,0,91.5,11.61,15.85
AL-02637,134.3,3.17,73.1,7.7,8.02,418.5,87.4,14.7,80.1,0,1,0,79.7,8.92,9.82
AL-02638,243.0,8.12,36.9,9.8,8.27,608.5,61.0,2.5,59.8,0,2,0,55.6,7.82,10.19
AL-02639,240.5,18.68,36.1,9.1,2.7,722.5,48.8,3.3,88.1,0,0,0,88.4,9.63,12.16
AL-02640,175.7,4.82,53.6,8.0,7.1,77.0,1.9,3.2,82.4,0,3,0,88.9,5.19,5.96
AL-02641,298.1,16.95,17.4,9.1,1.46,945.8,77.1,13.1,95.6,0,0,0,98.3,11.31,15.97
AL-02642,129.4,7.8,66.5,9.6,9.59,596.0,73.4,0.5,81.0,0,1,0,83.0,6.64,7.45
AL-02643,260.1,8.45,21.3,5.6,3.12,236.0,3.8,2.8,83.9,0,3,0,77.3,8.71,10.25
AL-02644,133.9,1.55,10.6,9.3,9.12,421.1,72.3,1.0,78.6,0,1,0,77.5,8.66,9.28
AL-02645,205.1,19.0,71.6,8.9,7.09,688.8,39.9,11.8,86.3,0,0,0,87.6,9.12,11.17
AL-02646,222.4,18.35,73.7,7.2,4.39,438.7,78.2,14.4,94.2,0,0,0,101.5,8.63,11.94
AL-02647,101.6,4.87,59.0,9.5,3.37,981.9,72.6,6.3,83.8,0,1,0,85.8,8.65,10.17
AL-02648,164.5,4.34,42.0,5.7,3.83,904.2,18.5,11.7,65.7,0,2,0,70.0,5.7,6.76
AL-02649,256.8,7.2,88.6,5.1,4.67,224.9,65.5,4.4,80.9,0,3,0,87.9,8.61,9.62
AL-02650,297.5,18.84,83.1,9.7,2.72,426.0,78.8,9.2,96.1,0,0,0,87.7,13.21,18.77
AL-02651,247.3,16.85,50.9,6.9,1.15,95.9,57.4,8.4,95.4,0,0,0,95.1,8.91,12.54
AL-02652,241.9,1.65,24.4,8.4,2.72,153.8,93.0,11.9,84.9,0,3,0,85.2,9.46,11.32
AL-02653,173.9,3.33,48.1,7.1,5.61,317.9,16.2,2.7,62.4,1,3,0,68.2,10.83,13.55
AL-02654,196.5,7.49,41.1,5.8,8.35,903.4,5.0,3.1,71.8,0,2,0,67.8,5.3,5.64
AL-02655,175.7,3.83,66.0,8.9,5.78,852.1,28.9,9.8,44.7,1,2,0,49.7,10.18,16.34
AL-02656,144.1,2.38,18.4,8.2,8.5,151.4,87.3,13.7,82.9,0,1,0,87.3,6.99,8.09
AL-02657,235.3,8.48,95.9,8.8,9.36,164.3,21.0,1.9,87.5,0,3,0,83.2,7.33,9.17
AL-02658,102.4,6.51,14.7,7.1,7.11,900.6,7.7,12.3,80.8,0,1,0,78.2,8.45,9.43
AL-02659,151.5,6.47,93.5,5.7,7.34,674.5,31.8,4.2,58.4,0,2,0,56.0,5.84,7.78
AL-02660,241.5,17.37,12.2,9.9,6.43,715.4,27.4,7.7,98.7,0,0,0,95.7,9.07,13.37
AL-02661,104.4,11.19,15.7,5.4,5.37,903.7,86.0,9.7,61.9,0,2,0,56.6,7.89,9.96
AL-02662,188.2,17.69,22.4,4.8,2.54,983.5,42.2,0.4,72.0,0,2,0,68.2,6.8,7.2
AL-02663,173.4,7.84,46.4,5.4,5.82,247.5,23.2,8.2,81.2,0,3,0,87.7,5.67,6.38
AL-02664,243.0,8.02,63.8,9.7,3.94,285.3,41.6,12.0,86.2,0,3,0,81.1,9.07,11.1
AL-02665,254.2,18.44,48.5,4.4,4.8,206.6,16.8,3.0,86.0,0,0,0,87.0,10.49,12.81
AL-02666,101.3,9.28,11.1,8.6,0.69,106.9,99.4,8.3,81.6,0,1,0,76.3,6.9,7.82
AL-02667,256.6,6.74,27.9,9.1,7.39,333.8,6.8,9.9,87.2,0,3,0,92.5,8.14,10.13
AL-02668,245.9,6.27,30.9,4.4,2.86,724.2,43.7,5.8,70.2,0,2,0,76.8,8.24,9.04
AL-02669,289.2,15.72,59.0,8.6,9.42,366.4,91.0,13.3,98.4,0,0,0,102.2,11.29,16.57
AL-02670,247.7,8.8,79.7,4.1,9.29,60.3,38.7,11.9,85.0,0,3,0,79.6,11.51,13.83
AL-02671,144.3,2.87,70.3,9.4,3.09,523.1,58.7,10.2,60.8,1,1,0,58.1,11.68,14.99
AL-02672,201.9,3.17,64.5,9.8,1.63,442.5,6.7,7.6,80.5,0,3,0,77.3,6.95,7.72
AL-02673,275.0,5.94,52.1,9.7,7.48,567.8,8.4,9.7,72.8,0,2,0,74.3,9.52,9.93
AL-02674,117.0,13.19,13.7,6.0,7.24,351.3,74.6,12.5,85.5,0,3,0,79.6,7.22,8.73
AL-02675,260.2,15.83,92.4,8.2,5.22,537.3,51.9,0.4,91.6,0,0,0,86.8,9.19,12.24
AL-02676,295.7,19.89,79.1,4.8,6.13,650.1,78.4,11.4,94.8,0,0,0,96.1,12.1,16.9
AL-02677,234.8,15.47,59.4,8.8,1.64,868.1,51.1,8.8,89.6,0,0,0,88.7,7.84,10.14
AL-02678,168.8,14.38,24.3,7.3,8.74,423.0,25.4,14.1,88.0,0,3,0,83.6,5.78,7.28
AL-02679,145.0,6.47,20.6,4.8,0.33,253.6,19.5,11.9,86.5,0,3,0,80.0,6.02,7.41
AL-02680,237.8,6.63,33.2,5.4,9.46,847.0,33.9,6.5,72.2,0,2,0,71.9,7.98,8.42
AL-02681,296.0,17.15,30.4,8.4,4.47,547.4,65.6,13.9,72.7,1,0,0,66.1,16.22,16.97
AL-02682,184.1,10.84,23.9,8.4,5.95,550.1,32.0,11.9,65.8,0,2,0,55.4,6.64,7.85
AL-02683,164.2,14.19,46.4,9.1,0.48,408.5,76.0,0.8,76.1,0,3,0,76.2,5.51,5.63
AL-02684,251.9,19.62,26.9,9.8,7.17,592.6,36.7,11.5,96.6,0,0,0,93.6,9.95,14.25
AL-02685,200.9,8.09,27.3,7.5,6.37,119.3,88.0,4.1,83.5,0,3,0,93.1,5.39,6.3
AL-02686,228.8,11.38,53.1,8.7,7.46,771.5,42.3,1.1,90.2,0,0,0,92.9,6.58,8.58
AL-02687,136.7,7.65,63.2,9.3,2.72,425.6,82.1,12.3,87.4,0,1,0,83.9,8.29,10.34
AL-02688,108.3,5.25,95.8,8.1,2.03,789.6,37.1,14.8,84.7,0,1,0,82.3,8.14,9.73
AL-02689,178.0,17.58,62.6,10.0,8.85,232.9,36.8,11.0,84.4,0,3,0,86.9,5.91,7.02
AL-02690,186.3,5.69,42.4,6.0,6.7,751.9,82.3,4.3,59.2,0,2,0,60.5,5.66,7.45
AL-02691,109.1,1.58,85.1,8.5,4.27,732.5,19.4,7.8,86.0,0,1,0,86.3,9.33,11.38
AL-02692,234.6,9.03,98.3,7.3,1.17,311.2,14.0,5.1,81.0,0,3,0,83.4,6.93,7.77
AL-02693,186.7,10.59,89.4,6.3,3.28,620.3,30.0,1.6,58.7,0,2,0,54.7,4.49,5.95
AL-02694,180.2,5.64,74.7,4.6,3.66,4.9,2.4,2.8,53.7,1,3,0,49.6,9.6,13.68
AL-02695,295.4,7.93,17.6,7.3,4.3,381.8,58.7,1.6,83.6,0,3,0,79.0,9.76,11.44
AL-02696,168.0,13.8,32.3,8.3,5.23,673.0,15.0,11.7,68.5,0,2,0,67.9,4.72,5.33
AL-02697,142.1,14.05,90.4,9.3,0.38,721.8,65.2,10.4,58.9,1,1,0,55.1,12.04,15.91
AL-02698,170.0,10.41,45.0,6.9,6.55,577.1,50.6,5.5,68.4,0,2,0,77.0,7.42,8.4
AL-02699,235.1,11.47,69.6,4.7,9.1,377.3,60.1,3.6,95.2,0,0,0,91.8,8.21,11.52
AL-02700,226.0,15.77,46.4,7.4,5.47,637.8,70.0,2.8,92.8,0,0,0,92.9,7.82,10.59
AL-02701,225.6,15.22,60.5,9.2,0.63,497.7,86.4,10.1,89.4,0,0,0,87.5,9.75,12.56
AL-02702,108.2,13.8,99.9,9.0,4.28,591.6,24.7,12.7,79.3,0,1,0,79.6,7.92,8.6
AL-02703,179.0,10.83,13.5,9.6,2.87,452.0,70.3,2.0,83.4,0,3,0,85.6,5.31,6.2
AL-02704,169.8,1.94,80.9,9.5,8.14,354.6,38.8,9.7,81.4,0,3,0,75.3,6.94,7.83
AL-02705,280.8,13.52,99.9,4.3,9.04,107.2,25.7,8.3,100.0,0,0,0,99.9,9.98,14.97
AL-02706,151.9,10.45,85.3,7.3,9.32,544.5,2.8,8.2,55.7,1,2,0,57.6,10.41,14.43
AL-02707,135.3,16.23,52.3,6.1,2.66,869.8,75.3,1.5,69.7,0,2,1,62.3,7.99,8.84
AL-02708,216.3,16.92,46.1,6.4,3.69,848.0,53.2,13.8,95.9,0,0,0,95.8,10.11,14.34
AL-02709,219.6,11.68,38.4,9.6,5.08,97.9,55.9,13.1,95.7,0,0,0,83.0,10.25,14.5
AL-02710,187.8,15.4,24.6,8.1,2.56,613.6,78.8,9.7,59.4,0,2,0,62.4,7.48,9.81
AL-02711,255.1,19.24,81.1,4.1,9.71,123.3,72.5,1.3,91.8,0,0,0,86.5,11.6,15.5
AL-02712,165.3,4.07,31.7,8.4,4.71,987.2,30.2,10.0,67.7,0,2,0,75.9,7.0,8.02
AL-02713,222.6,14.33,89.5,7.6,7.32,352.5,17.8,3.6,90.7,0,0,0,93.0,6.74,8.86
AL-02714,190.4,17.46,19.1,6.8,5.27,23.2,72.9,4.9,79.8,0,3,0,79.6,6.05,6.64
AL-02715,131.1,15.76,49.6,9.8,4.04,80.3,86.2,12.2,76.5,0,1,0,77.1,7.15,7.37
AL-02716,272.1,19.09,55.2,4.4,5.11,445.8,85.9,10.4,100.0,0,0,0,102.1,10.94,16.41
AL-02717,235.6,8.2,35.1,8.6,9.17,334.5,16.2,6.6,81.8,0,3,0,72.4,6.98,7.93
AL-02718,196.0,9.68,61.0,6.9,6.3,685.7,79.4,7.5,59.5,0,2,0,58.5,4.17,5.46
AL-02719,191.0,15.9,39.9,4.8,4.81,527.9,72.7,0.2,63.1,0,2,0,54.3,8.2,10.14
