sample_id,interventie,omgevingstemp_C,operator_ervaring_jaar,katalysator_type,roersnelheid_RPM,koelwater_temp_C,luchtvochtigheid_pct,druk_bar,activeringsenergie_kJmol,reactor_temp_C,menging_index,selectiviteit,conversie,opbrengst_pct,energieverbruik_kWh,vochtgehalte_product_pct
CI-02480,observatie,23.3,8.0,Pd/C,218,25.7,62.1,6.22,56.1,156.8,0.751,0.914,0.7244,65.9,51.0,2.02
CI-02481,observatie,22.1,9.9,Pd/C,275,24.4,68.1,3.28,49.2,151.2,0.827,0.862,0.6919,56.9,48.9,2.19
CI-02482,observatie,25.6,10.4,Pt/Al2O3,256,25.1,68.3,3.52,40.9,153.4,0.779,0.872,0.759,65.9,57.3,1.99
CI-02483,observatie,25.5,13.3,Pt/Al2O3,270,24.3,66.2,3.2,43.2,156.4,0.834,0.846,0.7417,63.7,53.7,1.37
CI-02484,observatie,2.1,4.0,Pt/Al2O3,202,18.0,48.2,4.9,45.8,150.3,0.742,0.829,0.7226,59.3,47.4,1.69
CI-02485,observatie,30.4,15.4,Pd/C,246,27.2,69.7,4.19,46.0,154.6,0.784,0.921,0.7361,68.8,53.2,1.72
CI-02486,observatie,22.9,17.5,Pt/Al2O3,273,25.2,72.4,4.65,44.7,154.4,0.872,0.858,0.735,64.5,49.2,2.13
CI-02487,do(roersnelheid=300),19.8,8.3,Pt/Al2O3,300,23.5,63.8,2.48,46.6,149.2,0.789,0.814,0.674,54.1,54.6,1.88
CI-02488,observatie,36.1,9.7,Ni/SiO2,279,30.6,75.2,1.33,58.5,146.9,0.807,0.801,0.671,55.1,54.6,1.56
CI-02489,observatie,33.9,18.6,Pd/C,280,29.3,76.5,7.7,50.2,166.0,0.845,0.943,0.8,75.3,63.1,1.7
CI-02490,observatie,9.5,2.7,Pd/C,203,18.9,57.0,3.36,50.2,152.8,0.745,0.877,0.6876,60.3,46.1,1.73
CI-02491,observatie,-1.6,2.2,Ni/SiO2,231,15.1,40.8,1.26,59.9,140.5,0.796,0.81,0.659,55.2,47.9,0.98
CI-02492,observatie,10.5,5.1,Pt/Al2O3,227,17.2,63.0,2.65,42.8,152.9,0.754,0.85,0.7214,62.1,54.2,1.44
CI-02493,observatie,23.6,0.0,Ni/SiO2,210,23.6,70.7,5.83,59.1,154.5,0.789,0.801,0.7324,58.7,51.9,2.53
CI-02494,observatie,13.5,13.2,Pd/C,288,18.5,59.7,6.9,48.6,155.6,0.784,0.897,0.7427,65.0,55.5,1.71
CI-02495,do(druk=8),7.4,7.5,Pd/C,261,18.5,52.8,8.0,50.1,163.4,0.734,0.858,0.7562,65.9,51.4,1.13
CI-02496,observatie,22.7,13.5,Pd/C,234,23.5,77.6,3.45,47.1,153.3,0.78,0.894,0.7248,64.5,54.3,2.16
CI-02497,observatie,20.3,16.2,Pt/Al2O3,293,23.8,61.1,2.77,43.8,150.9,0.846,0.857,0.7366,61.8,54.7,0.9
CI-02498,do(druk=8),23.1,4.2,Pd/C,235,25.6,75.6,8.0,55.2,161.0,0.761,0.931,0.7764,70.9,53.6,2.05
CI-02499,observatie,6.5,16.3,Pt/Al2O3,300,18.7,61.9,9.43,45.0,161.8,0.829,0.854,0.8322,72.0,58.3,1.44
CI-02500,observatie,23.4,9.9,Pt/Al2O3,266,24.3,54.7,2.19,45.9,149.2,0.818,0.851,0.6807,57.1,51.9,1.04
CI-02501,observatie,8.3,5.5,Pt/Al2O3,210,19.4,51.2,8.88,46.7,161.4,0.796,0.877,0.8683,77.1,53.5,1.31
CI-02502,observatie,24.9,1.6,Pt/Al2O3,218,24.7,73.8,6.67,45.0,158.2,0.786,0.869,0.7687,68.0,55.1,2.12
CI-02503,observatie,19.4,9.7,Pt/Al2O3,241,20.5,69.1,1.2,43.3,146.3,0.775,0.864,0.6701,56.2,49.0,2.02
CI-02504,observatie,30.2,12.8,Pd/C,266,26.8,73.8,8.02,50.6,163.1,0.828,0.889,0.7746,66.9,55.5,1.39
CI-02505,observatie,17.1,9.5,Ni/SiO2,252,20.8,64.5,9.03,60.8,161.2,0.805,0.8,0.8237,65.2,54.4,1.68
CI-02506,observatie,23.3,7.6,Pt/Al2O3,208,24.6,70.4,7.06,45.3,162.7,0.711,0.832,0.7893,62.9,53.8,1.82
CI-02507,observatie,14.5,2.8,Pd/C,222,22.0,64.1,2.44,47.6,149.0,0.755,0.888,0.67,58.9,51.5,1.89
CI-02508,observatie,19.4,8.9,Ni/SiO2,241,23.0,72.5,1.08,57.5,141.5,0.762,0.78,0.5844,45.8,51.1,1.81
CI-02509,observatie,21.8,17.5,Ni/SiO2,337,23.5,62.9,9.49,58.2,161.8,0.858,0.796,0.8196,65.1,60.7,1.62
CI-02510,observatie,34.2,11.0,Ni/SiO2,270,29.9,74.7,7.06,60.1,157.0,0.816,0.793,0.7765,60.7,55.9,1.84
CI-02511,observatie,14.7,19.5,Pd/C,319,21.3,65.2,9.48,50.2,163.5,0.837,0.908,0.8167,75.3,60.1,1.28
CI-02512,observatie,19.6,17.9,Ni/SiO2,280,24.2,61.9,7.56,58.9,156.9,0.787,0.796,0.7486,57.3,56.4,1.46
CI-02513,observatie,31.4,1.2,Pd/C,230,26.1,79.0,1.26,53.6,144.4,0.827,0.882,0.6589,56.9,50.2,2.19
CI-02514,observatie,20.1,2.6,Pd/C,220,23.7,75.1,5.18,48.0,155.8,0.753,0.917,0.7687,71.8,52.7,1.93
CI-02515,observatie,24.3,4.8,Pd/C,200,23.7,69.1,2.05,52.3,148.2,0.792,0.908,0.6625,59.3,47.6,2.26
CI-02516,observatie,34.4,9.2,Pd/C,256,28.4,82.1,2.78,47.9,154.7,0.787,0.887,0.7209,61.5,54.3,1.52
CI-02517,observatie,16.8,0.5,Ni/SiO2,204,22.2,64.6,7.49,60.2,154.5,0.744,0.816,0.7179,58.4,48.8,1.25
CI-02518,observatie,29.6,14.7,Pd/C,273,26.5,73.8,2.57,53.2,152.5,0.805,0.907,0.703,64.4,59.0,2.17
CI-02519,observatie,31.7,4.7,Pt/Al2O3,192,27.0,78.7,5.5,45.9,157.5,0.77,0.85,0.7208,62.2,52.6,2.38
CI-02520,observatie,18.8,7.3,Pd/C,269,22.3,65.7,9.87,53.2,162.7,0.801,0.928,0.8068,75.2,57.0,1.75
CI-02521,observatie,8.6,4.6,Ni/SiO2,220,17.5,48.6,1.6,57.2,141.5,0.727,0.791,0.6451,51.5,48.8,1.7
CI-02522,observatie,16.3,2.4,Pd/C,217,20.4,61.5,6.47,45.0,157.6,0.757,0.906,0.7315,64.3,50.4,1.65
CI-02523,observatie,10.7,17.7,Ni/SiO2,323,19.0,63.1,5.78,57.1,149.8,0.792,0.771,0.7384,56.5,56.7,1.71
CI-02524,observatie,11.0,5.8,Pd/C,255,18.3,69.1,6.36,51.7,155.2,0.783,0.927,0.783,72.5,54.0,1.63
CI-02525,observatie,29.7,11.2,Ni/SiO2,239,26.2,78.1,2.31,60.7,146.1,0.733,0.795,0.6645,52.1,47.9,1.69
CI-02526,observatie,35.4,12.8,Ni/SiO2,278,29.6,74.1,8.02,61.6,161.4,0.81,0.817,0.7758,63.7,55.4,2.18
CI-02527,observatie,16.6,8.5,Ni/SiO2,238,22.7,53.7,6.7,59.8,154.4,0.773,0.789,0.7275,57.0,50.7,1.89
CI-02528,observatie,18.9,16.6,Pd/C,289,23.1,60.4,6.8,49.4,159.6,0.82,0.9,0.755,68.9,56.5,2.06
CI-02529,observatie,14.7,12.0,Pd/C,271,22.1,56.4,5.06,51.7,154.9,0.767,0.913,0.7241,66.6,55.8,1.3
CI-02530,observatie,13.6,13.3,Pt/Al2O3,226,20.8,64.0,9.15,44.1,163.7,0.738,0.87,0.7976,69.9,55.9,1.87
CI-02531,observatie,24.6,0.1,Pd/C,198,23.8,71.4,1.06,53.4,146.6,0.705,0.889,0.6785,61.8,49.1,1.56
CI-02532,observatie,33.1,16.3,Pt/Al2O3,300,27.0,89.9,8.56,41.5,163.7,0.792,0.872,0.8136,69.9,54.9,2.26
CI-02533,observatie,0.2,9.6,Pd/C,222,15.8,42.9,5.87,49.5,148.6,0.815,0.892,0.7209,65.8,49.0,1.01
CI-02534,observatie,7.1,16.6,Ni/SiO2,284,17.0,55.2,9.37,60.7,160.3,0.781,0.8,0.7764,63.8,57.7,1.12
CI-02535,observatie,22.1,11.9,Ni/SiO2,266,25.0,61.3,8.4,60.2,162.2,0.878,0.829,0.7283,59.1,55.3,1.34
CI-02536,observatie,18.8,2.7,Pd/C,186,22.6,60.7,7.41,48.4,158.0,0.762,0.9,0.7422,65.0,53.5,1.4
CI-02537,observatie,14.6,2.1,Pd/C,205,21.0,64.1,7.63,48.8,161.5,0.811,0.93,0.7955,75.1,51.3,1.19
CI-02538,observatie,31.4,11.8,Ni/SiO2,218,27.9,78.1,1.91,62.8,146.8,0.779,0.818,0.6262,51.1,50.8,2.72
CI-02539,observatie,12.6,9.4,Pt/Al2O3,226,19.7,60.7,8.87,45.2,159.6,0.75,0.86,0.8,69.1,55.4,1.67
CI-02540,observatie,17.0,11.7,Ni/SiO2,261,21.5,60.5,7.17,59.2,151.7,0.775,0.809,0.7347,59.1,51.2,1.65
CI-02541,observatie,12.0,6.2,Pd/C,220,19.0,60.3,1.43,53.9,140.7,0.754,0.876,0.6839,59.2,50.6,1.08
CI-02542,observatie,11.0,9.7,Pd/C,234,17.6,58.3,2.99,50.8,147.3,0.824,0.894,0.6886,62.9,50.9,1.84
CI-02543,observatie,23.4,1.0,Pd/C,186,24.7,58.9,2.7,51.0,153.2,0.804,0.87,0.7239,62.0,49.3,1.34
CI-02544,observatie,31.2,3.7,Pt/Al2O3,167,26.7,74.3,6.21,44.9,161.1,0.745,0.854,0.8001,69.4,48.3,1.75
CI-02545,observatie,35.6,0.1,Pd/C,191,30.3,75.1,7.96,49.2,164.0,0.742,0.924,0.8322,76.6,50.0,1.68
CI-02546,observatie,27.0,12.4,Pd/C,259,24.9,75.3,6.08,52.4,157.7,0.806,0.89,0.7608,67.7,52.6,1.5
CI-02547,do(roersnelheid=300),34.4,19.8,Pt/Al2O3,300,31.0,76.5,9.27,44.0,168.7,0.725,0.855,0.7985,69.1,59.2,2.11
CI-02548,observatie,29.3,7.0,Pt/Al2O3,186,26.8,78.1,2.22,41.5,149.9,0.743,0.864,0.7087,61.8,46.6,1.9
CI-02549,observatie,24.5,10.4,Pt/Al2O3,264,26.1,75.8,4.78,47.8,156.9,0.722,0.875,0.763,67.4,52.6,2.28
CI-02550,observatie,24.0,6.5,Ni/SiO2,239,25.6,67.3,2.55,59.9,142.3,0.767,0.808,0.68,53.5,49.5,2.13
CI-02551,observatie,20.0,5.5,Pd/C,244,23.9,66.3,8.08,52.6,157.4,0.756,0.896,0.7698,67.9,49.8,1.44
CI-02552,observatie,12.0,0.5,Ni/SiO2,221,19.7,62.2,7.99,60.5,154.8,0.765,0.816,0.7423,61.0,52.7,1.9
CI-02553,observatie,32.3,3.9,Ni/SiO2,194,29.0,81.7,7.23,62.7,152.6,0.804,0.782,0.7117,55.9,50.7,2.09
CI-02554,observatie,18.8,6.4,Ni/SiO2,230,21.9,71.0,5.82,59.1,156.6,0.755,0.799,0.7552,58.7,50.9,1.8
CI-02555,observatie,16.1,6.0,Pt/Al2O3,283,21.7,56.7,8.46,46.3,159.7,0.859,0.875,0.8086,71.4,55.8,1.36
CI-02556,observatie,21.0,16.0,Ni/SiO2,281,24.0,68.4,8.14,58.2,154.3,0.753,0.802,0.7574,61.2,57.0,2.25
CI-02557,observatie,29.3,2.8,Ni/SiO2,213,25.3,70.1,7.36,58.9,158.6,0.813,0.811,0.7629,61.9,55.3,2.18
CI-02558,observatie,22.0,2.2,Pt/Al2O3,222,24.1,76.6,1.89,42.6,150.0,0.798,0.861,0.7051,60.7,50.1,1.74
CI-02559,do(druk=8),11.5,2.0,Pt/Al2O3,215,20.7,54.4,8.0,44.2,163.0,0.747,0.869,0.8125,70.2,56.1,1.31
CI-02560,observatie,12.1,6.0,Pt/Al2O3,227,19.8,58.8,8.53,43.2,162.4,0.831,0.868,0.8215,69.3,54.2,1.49
CI-02561,observatie,14.8,6.3,Pd/C,247,21.1,62.7,4.98,50.1,150.3,0.796,0.885,0.6925,61.4,54.7,2.06
CI-02562,observatie,21.3,3.2,Pd/C,220,23.9,62.2,9.54,49.4,163.6,0.748,0.904,0.806,72.8,53.3,1.78
CI-02563,observatie,20.1,18.4,Pd/C,268,22.5,72.0,1.35,51.1,146.6,0.834,0.922,0.6547,60.6,54.7,1.79
CI-02564,observatie,19.8,2.0,Ni/SiO2,229,21.3,60.7,8.84,59.0,153.9,0.701,0.799,0.7353,57.7,53.8,1.55
CI-02565,observatie,15.8,7.3,Pd/C,204,21.5,59.8,4.19,52.6,150.7,0.722,0.904,0.689,62.7,51.9,0.89
CI-02566,observatie,13.3,9.3,Pd/C,247,19.2,56.1,6.97,49.3,158.2,0.76,0.9,0.7505,66.6,52.4,1.26
CI-02567,observatie,13.5,4.4,Pt/Al2O3,230,19.7,57.8,8.66,45.6,162.2,0.82,0.857,0.8005,71.1,53.9,1.5
CI-02568,observatie,25.7,6.9,Pt/Al2O3,231,23.7,71.0,3.86,43.0,152.3,0.72,0.9,0.6818,60.0,52.9,1.53
CI-02569,observatie,27.8,17.6,Pd/C,301,27.6,68.5,8.19,51.1,165.6,0.779,0.921,0.7926,72.3,55.0,1.33
CI-02570,observatie,25.0,19.3,Pd/C,321,24.0,74.0,1.65,46.5,149.8,0.814,0.863,0.707,61.6,55.0,1.89
CI-02571,observatie,25.2,5.5,Pd/C,201,24.8,63.6,7.78,47.4,158.2,0.734,0.888,0.7845,69.9,54.8,1.99
CI-02572,observatie,29.2,4.6,Pd/C,219,27.6,80.6,3.86,52.4,153.1,0.801,0.907,0.7319,65.6,49.7,2.07
CI-02573,observatie,17.1,14.5,Pt/Al2O3,277,20.2,68.5,7.4,43.7,160.8,0.821,0.858,0.7871,68.4,55.0,1.69
CI-02574,observatie,9.8,5.0,Pd/C,222,19.7,59.9,4.83,49.7,154.1,0.744,0.901,0.7371,65.7,54.8,1.38
CI-02575,observatie,16.1,15.9,Pd/C,296,22.3,51.8,7.56,50.9,158.1,0.812,0.909,0.7314,68.5,53.8,1.7
CI-02576,observatie,18.8,11.0,Ni/SiO2,250,21.1,60.6,3.72,63.6,143.6,0.823,0.808,0.6364,49.8,51.0,2.03
CI-02577,observatie,26.7,5.2,Pt/Al2O3,185,28.4,71.8,1.62,43.6,152.5,0.735,0.841,0.7061,59.6,52.1,1.57
CI-02578,do(druk=8),26.4,18.3,Pd/C,288,25.3,74.1,8.0,50.2,159.0,0.807,0.927,0.8131,75.5,57.8,1.84
CI-02579,observatie,12.7,15.0,Pd/C,311,19.3,70.1,9.38,54.6,158.7,0.82,0.906,0.7376,66.8,58.0,1.86
CI-02580,observatie,12.2,5.0,Ni/SiO2,204,20.9,61.3,4.2,59.6,150.5,0.756,0.815,0.6816,55.0,52.7,2.28
CI-02581,observatie,18.4,16.2,Ni/SiO2,280,22.7,69.9,5.71,61.1,152.7,0.775,0.781,0.7157,55.4,53.3,1.25
CI-02582,do(roersnelheid=300),26.1,15.7,Pd/C,300,26.8,76.2,5.47,48.8,160.5,0.827,0.885,0.74,66.0,55.5,1.93
CI-02583,observatie,4.6,18.1,Pt/Al2O3,299,18.3,56.5,1.98,45.0,149.2,0.763,0.844,0.6874,57.9,55.3,1.7
CI-02584,observatie,10.9,16.6,Pd/C,288,20.6,52.3,8.67,49.4,159.6,0.792,0.896,0.7853,71.0,58.7,1.54
CI-02585,observatie,10.3,9.3,Pt/Al2O3,276,20.3,52.6,8.42,44.2,160.4,0.787,0.875,0.7863,68.5,52.5,1.42
CI-02586,observatie,33.3,9.4,Ni/SiO2,251,27.7,75.3,7.82,59.9,160.0,0.814,0.841,0.7325,61.4,54.8,2.36
CI-02587,observatie,27.6,12.7,Pt/Al2O3,268,25.6,70.9,2.36,44.2,151.0,0.815,0.875,0.7008,59.1,52.0,1.98
CI-02588,observatie,22.3,17.8,Ni/SiO2,291,23.8,69.6,3.88,60.1,148.4,0.819,0.792,0.6973,55.7,53.4,2.17
CI-02589,observatie,3.0,14.4,Pt/Al2O3,297,16.7,53.0,3.42,43.9,152.5,0.821,0.884,0.7331,65.6,53.6,1.39
CI-02590,observatie,18.5,4.9,Ni/SiO2,190,22.1,65.1,9.75,58.8,159.0,0.727,0.801,0.7818,63.0,53.4,2.13
CI-02591,observatie,17.8,13.4,Pt/Al2O3,294,22.6,64.9,3.48,45.9,154.7,0.869,0.854,0.7419,63.3,57.9,1.54
CI-02592,observatie,28.2,1.4,Pt/Al2O3,238,26.6,69.8,3.5,47.4,152.7,0.758,0.865,0.734,63.0,53.6,1.69
CI-02593,observatie,19.8,11.4,Pd/C,245,23.3,71.3,3.13,49.1,151.5,0.744,0.915,0.6722,61.1,52.7,1.45
CI-02594,observatie,27.7,11.0,Pd/C,253,24.8,73.6,2.66,48.7,152.3,0.763,0.891,0.7107,63.6,52.9,2.06
CI-02595,observatie,39.3,14.5,Pt/Al2O3,290,30.1,89.3,6.87,45.4,163.8,0.796,0.857,0.7738,64.7,54.9,2.52
CI-02596,observatie,18.6,19.4,Ni/SiO2,297,21.4,66.0,1.76,58.2,146.2,0.812,0.771,0.6574,50.4,51.9,2.14
CI-02597,observatie,26.8,10.3,Pd/C,218,26.7,70.6,6.83,49.0,161.0,0.764,0.919,0.7852,73.2,57.1,1.41
CI-02598,observatie,16.4,11.1,Ni/SiO2,244,21.1,70.9,3.24,56.6,147.7,0.746,0.848,0.6519,56.2,52.1,1.83
CI-02599,observatie,22.3,11.7,Ni/SiO2,266,22.7,62.6,9.89,54.9,163.9,0.806,0.814,0.7894,64.7,55.9,1.64
CI-02600,observatie,5.9,10.1,Pd/C,291,17.8,48.0,8.76,51.1,161.0,0.815,0.887,0.8025,71.4,55.7,1.14
CI-02601,observatie,5.3,9.1,Pd/C,262,17.4,58.7,2.39,48.4,145.4,0.748,0.865,0.6949,58.9,50.0,1.85
CI-02602,observatie,14.4,2.5,Pd/C,193,20.0,59.0,3.58,49.3,148.1,0.768,0.875,0.6903,61.7,52.6,1.27
CI-02603,observatie,31.5,18.4,Pd/C,295,27.9,68.6,8.9,47.7,164.9,0.798,0.868,0.8261,71.5,55.3,2.31
CI-02604,observatie,24.1,7.6,Pt/Al2O3,222,24.3,66.6,8.35,43.5,162.9,0.767,0.883,0.7987,70.0,57.5,1.72
CI-02605,observatie,21.9,4.8,Ni/SiO2,250,23.4,74.0,6.35,62.0,151.3,0.754,0.8,0.6892,55.9,50.9,1.95
CI-02606,observatie,27.9,1.6,Pt/Al2O3,170,26.3,64.9,5.21,44.3,155.0,0.764,0.863,0.7335,62.6,50.1,1.79
CI-02607,observatie,4.0,18.1,Pt/Al2O3,287,16.3,49.9,7.58,45.5,154.8,0.777,0.881,0.7548,68.1,56.9,1.4
CI-02608,observatie,17.0,5.8,Pt/Al2O3,231,21.3,60.0,2.05,43.5,148.5,0.757,0.878,0.7142,62.4,46.9,1.36
CI-02609,observatie,22.3,4.6,Ni/SiO2,188,22.2,68.7,3.35,60.0,150.5,0.749,0.829,0.7071,60.2,48.8,2.07
CI-02610,observatie,29.5,13.5,Ni/SiO2,239,26.8,63.9,7.78,58.5,159.7,0.764,0.81,0.7449,61.2,51.5,1.89
CI-02611,observatie,22.4,11.6,Pt/Al2O3,263,23.5,68.9,9.52,46.9,163.4,0.795,0.841,0.7893,67.1,57.4,1.72
CI-02612,observatie,36.1,4.6,Pt/Al2O3,257,30.6,76.8,6.26,44.8,161.4,0.752,0.851,0.7756,65.5,53.7,1.7
CI-02613,do(roersnelheid=300),9.9,5.9,Ni/SiO2,300,20.5,65.2,7.12,60.5,154.1,0.827,0.837,0.7731,64.7,54.6,2.49
CI-02614,observatie,17.5,19.2,Ni/SiO2,278,21.5,64.2,7.66,60.2,157.2,0.797,0.837,0.7586,64.2,50.9,1.39
CI-02615,observatie,21.4,9.9,Pd/C,276,23.4,62.2,4.11,51.0,154.7,0.829,0.895,0.75,67.6,55.3,1.54
CI-02616,observatie,0.2,1.8,Pt/Al2O3,171,14.5,45.4,3.54,45.6,145.1,0.704,0.822,0.6598,55.3,47.3,1.58
CI-02617,observatie,24.1,9.7,Pt/Al2O3,255,24.5,68.1,4.54,44.5,155.1,0.816,0.842,0.7377,62.8,48.2,1.58
CI-02618,observatie,10.1,18.5,Pt/Al2O3,312,18.8,55.7,1.71,47.7,145.5,0.8,0.84,0.6826,58.4,51.5,1.45
CI-02619,observatie,23.7,11.8,Ni/SiO2,235,25.2,61.2,2.42,57.8,148.0,0.811,0.766,0.6493,49.6,48.6,1.96
CI-02620,observatie,-0.6,4.8,Pt/Al2O3,225,16.4,45.7,9.24,42.8,161.3,0.838,0.901,0.8192,73.5,48.9,1.23
CI-02621,observatie,28.4,9.2,Pd/C,244,27.9,85.2,9.17,47.2,168.2,0.761,0.948,0.8284,78.0,59.3,2.05
CI-02622,observatie,24.4,6.8,Pd/C,232,25.0,65.5,1.58,48.1,147.0,0.768,0.895,0.6787,59.9,50.2,1.82
CI-02623,observatie,24.2,10.9,Pt/Al2O3,305,23.9,63.9,7.75,46.1,164.1,0.833,0.872,0.8188,73.3,59.8,1.47
CI-02624,observatie,23.3,0.4,Pd/C,175,25.0,71.9,2.4,52.3,152.7,0.697,0.875,0.6951,61.6,47.4,2.12
CI-02625,observatie,16.2,4.8,Pd/C,227,20.9,60.9,4.06,50.8,151.1,0.771,0.885,0.6885,62.4,49.2,1.14
CI-02626,observatie,26.2,19.0,Ni/SiO2,266,25.2,70.0,1.93,56.7,145.5,0.813,0.812,0.6503,53.6,48.6,2.12
CI-02627,observatie,21.1,5.1,Ni/SiO2,238,22.4,65.0,9.84,64.5,154.9,0.77,0.785,0.7636,59.4,53.7,1.35
CI-02628,observatie,23.9,3.4,Pt/Al2O3,209,23.9,68.9,3.38,43.3,151.3,0.757,0.868,0.7238,63.3,50.3,2.16
CI-02629,observatie,14.3,17.3,Pd/C,302,20.1,61.9,1.66,52.3,147.2,0.806,0.894,0.6941,60.1,57.7,1.87
CI-02630,observatie,30.8,10.4,Pd/C,247,28.0,69.4,2.28,50.4,148.2,0.739,0.87,0.6674,57.8,49.4,2.09
CI-02631,observatie,30.9,10.2,Pt/Al2O3,252,26.5,78.5,7.23,44.6,162.5,0.775,0.854,0.7531,64.4,53.5,1.68
CI-02632,observatie,23.9,13.8,Pd/C,270,25.6,76.3,5.09,52.2,152.3,0.83,0.898,0.7255,65.0,52.8,1.74
CI-02633,do(druk=8),2.6,16.7,Pt/Al2O3,262,14.7,51.5,8.0,45.0,158.2,0.756,0.863,0.7707,65.4,55.2,2.21
CI-02634,observatie,12.1,9.0,Ni/SiO2,250,20.1,61.3,5.04,60.9,151.8,0.759,0.804,0.7139,58.6,54.6,1.59
CI-02635,do(roersnelheid=300),19.3,13.9,Pd/C,300,21.2,56.6,1.33,50.8,143.6,0.786,0.871,0.6735,60.8,53.4,1.15
CI-02636,observatie,3.6,3.5,Ni/SiO2,208,16.1,50.5,8.99,60.0,154.7,0.742,0.818,0.7667,62.9,51.6,1.41
CI-02637,observatie,12.4,6.3,Pd/C,235,21.0,54.2,2.18,52.3,152.5,0.791,0.89,0.642,56.1,53.3,1.51
CI-02638,do(roersnelheid=300),32.8,7.3,Pt/Al2O3,300,27.7,75.1,2.07,47.0,154.5,0.823,0.848,0.7407,62.7,55.2,1.88
CI-02639,observatie,24.2,8.5,Pd/C,249,22.8,62.0,2.52,49.6,150.8,0.799,0.9,0.6901,62.6,53.7,2.21
CI-02640,observatie,27.7,13.1,Ni/SiO2,220,25.3,71.2,8.01,61.9,160.9,0.75,0.813,0.7519,59.7,51.2,1.84
CI-02641,observatie,13.5,4.5,Pd/C,208,21.5,66.2,3.71,47.9,150.5,0.754,0.901,0.7453,66.7,50.1,1.38
CI-02642,observatie,16.6,19.6,Pd/C,317,21.5,65.1,9.01,49.7,160.5,0.843,0.906,0.7755,70.8,57.3,2.09
CI-02643,observatie,26.1,0.8,Pd/C,191,26.3,70.5,9.48,48.9,165.3,0.747,0.917,0.8159,74.4,54.1,1.81
CI-02644,observatie,28.3,14.6,Pt/Al2O3,260,25.7,71.6,4.82,46.4,158.0,0.728,0.856,0.7027,60.5,52.8,2.01
CI-02645,observatie,16.6,9.1,Pt/Al2O3,266,24.2,71.6,2.52,47.3,149.1,0.816,0.835,0.7053,60.2,50.4,1.75
CI-02646,observatie,21.0,13.4,Pd/C,273,22.5,73.9,4.24,50.3,151.6,0.82,0.912,0.7367,67.6,55.0,1.74
CI-02647,observatie,16.5,2.0,Ni/SiO2,213,21.3,64.0,8.39,58.8,155.5,0.742,0.799,0.7721,60.5,51.5,2.07
CI-02648,do(druk=8),12.4,2.3,Pt/Al2O3,203,20.1,56.0,8.0,41.2,158.7,0.738,0.864,0.7855,68.3,51.2,1.35
CI-02649,observatie,32.6,19.6,Ni/SiO2,268,28.3,78.3,4.3,61.2,152.5,0.818,0.75,0.6811,51.2,50.9,2.03
CI-02650,observatie,8.7,14.1,Pt/Al2O3,277,19.3,49.0,1.95,45.9,147.1,0.84,0.878,0.7089,61.9,53.4,1.23
CI-02651,observatie,26.2,17.9,Pt/Al2O3,291,25.4,70.4,4.35,44.8,156.5,0.833,0.861,0.7828,66.5,57.3,1.63
CI-02652,do(druk=8),27.7,12.0,Pd/C,245,27.6,81.4,8.0,50.2,162.4,0.808,0.925,0.7953,75.1,53.6,1.86
CI-02653,observatie,19.0,10.6,Ni/SiO2,279,21.3,58.7,1.2,57.5,141.8,0.767,0.788,0.6393,51.0,54.3,1.4
CI-02654,observatie,15.4,1.8,Pt/Al2O3,195,20.1,69.8,4.86,45.1,152.6,0.713,0.83,0.7241,62.0,51.3,1.71
CI-02655,observatie,29.8,13.4,Pt/Al2O3,272,26.8,73.2,2.07,43.8,151.3,0.818,0.863,0.6904,58.0,53.8,2.48
CI-02656,observatie,20.6,1.3,Pd/C,208,22.7,68.9,1.57,50.7,146.5,0.73,0.929,0.6819,62.7,49.1,1.89
CI-02657,observatie,20.7,7.6,Pd/C,218,20.4,70.5,7.84,50.1,157.1,0.801,0.924,0.7866,71.4,52.6,1.62
CI-02658,observatie,17.7,14.9,Pt/Al2O3,243,22.4,62.1,3.92,42.8,151.2,0.816,0.875,0.7383,63.5,52.1,1.99
CI-02659,observatie,19.9,5.2,Pd/C,214,23.9,63.7,7.73,51.6,158.3,0.712,0.927,0.7448,69.1,48.9,2.21
CI-02660,observatie,26.2,10.9,Pd/C,249,25.0,75.0,4.88,50.7,150.0,0.795,0.866,0.7074,62.1,53.0,1.74
CI-02661,observatie,27.5,2.0,Pt/Al2O3,226,26.9,71.4,5.06,43.6,155.7,0.77,0.893,0.698,60.8,54.6,1.98
CI-02662,observatie,21.6,4.4,Pd/C,209,23.1,70.4,7.66,51.1,158.7,0.757,0.887,0.7857,70.5,50.3,1.73
CI-02663,observatie,12.4,2.0,Ni/SiO2,225,18.3,46.3,7.97,58.7,151.5,0.771,0.801,0.732,59.5,52.2,2.29
CI-02664,observatie,14.0,11.8,Ni/SiO2,250,21.1,67.3,2.19,57.1,140.9,0.807,0.824,0.6254,54.3,45.5,1.77
CI-02665,observatie,1.5,13.5,Ni/SiO2,269,14.5,53.7,4.68,61.5,147.2,0.805,0.745,0.7094,54.0,54.5,1.79
CI-02666,observatie,25.5,12.3,Pt/Al2O3,251,25.5,68.6,5.13,42.1,158.1,0.804,0.844,0.78,64.3,52.2,1.95
CI-02667,observatie,28.5,3.2,Pd/C,220,27.8,72.3,9.23,52.7,162.5,0.817,0.932,0.778,71.0,50.4,2.12
